Bezirk,Jahr,Orte,Geburtsort,Latitude1,Longitude1,Medaille,Sportart,Disziplin
OBB,2022.0,Peking (CHN),Berchtesgaden,47630.0,13000.0,Silber,Bob,"Zweierbob (Pilot), Viererbob"
OBB,2022.0,Peking (CHN),Töging am Inn,48259.0,12586.0,Silber,Bob,"Zweierbob (Anschieber), Viererbob"
OBB,2022.0,Peking (CHN),Bad Aibling,47864.0,12009.0,Bronze,Bob,Zweierbob (Pilot)
OBB,2022.0,Peking (CHN),München,48135.0,11581.0,Bronze,Biathlon,Staffel
OBB,2022.0,Peking (CHN),Wasserburg am Inn,48052.0,12224.0,Bronze,Biathlon,Staffel
OBB,2022.0,Peking (CHN),Mühldorf am Inn,48245.0,12521.0,Silber,Bob,Zweierbob (Anschieberin)
OBB,2022.0,Peking (CHN),München,48135.0,11581.0,Silber,Ski Alpin,Team
OBB,2022.0,Peking (CHN),Siegsdorf,47823.0,12640.0,Bronze,Skispringen,Team
OBB,2022,Peking (CHN),Garmisch-Partenkirchen,47491.0,11095.0,Bronze,Ski Alpin,Slalom
OFR,1936.0,Berlin (D),Bamberg,49890.0,10882.0,Gold,Gewichtheben,Schwergewicht
OFR,1964.0,Tokio (JP),Hof,50313.0,11912.0,Bronze,Schwimmen,"400m Lagen, 4x200m Freistil Staffel"
OFR,1984.0,Los Angeles (USA),Wunsiedel,50039.0,12004.0,Silber,Handball,
OPF,1936.0,Berlin (D),Cham,49225.0,12655.0,Gold,Turnen,Mannschaft
OPF,1964.0,Tokio (JP),Wenzenbach bei Regensburg,49070.0,12182.0,Silber,Boxen,Schwergewicht
